OBJID RA DEC
587730774962536596 00:00:01.38 +15:30:35.3
587731187277693069 00:00:04.12 +00:45:07.9
587727221413511425 00:00:06.70 +14:19:58.5
587730775499407394 00:00:07.62 +15:50:03.2
587727225690128575 00:00:14.09 -10:28:45.9
587727220876705819 00:00:14.60 +13:55:32.3
587730774962536536 00:00:17.63 +15:25:53.0
587730773888794840 00:00:29.30 +14:37:31.4
587727221413576798 00:00:36.82 +14:27:42.6
587727177912680543 00:00:39.86 -11:09:27.7
587730775499472924 00:00:40.03 +15:56:51.8
587730773888860322 00:00:40.04 +14:33:07.7
587727221413577010 00:00:41.28 +14:29:25.4
587731187277758607 00:00:44.15 +00:40:22.8
587730774425731294 00:00:49.53 +14:58:27.6
587727222487384226 00:00:50.19 +15:21:44.2
588015510343188562 00:00:51.56 +00:53:23.9
588015507658834049 00:00:51.75 -01:11:53.9
587727223561126029 00:00:52.52 +16:05:35.8
587727226764001335 00:01:00.19 -09:36:12.4
587727226764001349 00:01:05.80 -09:42:40.8
587730774962602216 00:01:07.75 +15:28:10.1
587730774425796742 00:01:16.70 +14:57:49.0
587731185130340514 00:01:17.80 -00:56:12.0
587730772815118429 00:01:20.48 +13:44:48.2
587731186204082386 00:01:26.33 -00:01:43.1
587731186204082371 00:01:26.36 -00:12:33.1
587731186740953163 00:01:34.63 +00:16:28.0
587731185667211384 00:01:40.18 -00:33:50.6
588015508732706995 00:01:42.92 -00:16:43.6
587727222487449835 00:01:44.41 +15:12:15.1
587727227300937866 00:01:47.31 -09:17:23.5
588015509806448799 00:01:49.57 +00:34:01.0
587727226764066934 00:01:49.57 -09:41:37.8
587727223024386231 00:01:55.96 +15:37:06.6
587730774962733276 00:01:57.95 +15:28:21.2
587730774425862186 00:02:00.83 +15:01:32.3
587731186741018817 00:02:01.83 +00:20:49.2
587731187277889699 00:02:03.61 +00:37:54.7
587730773352120483 00:02:10.20 +14:08:10.4
587731185130406039 00:02:10.65 -00:57:59.3
587731187277889719 00:02:13.97 +00:46:28.0
587730773888991409 00:02:27.23 +14:33:33.5
587727223024451703 00:02:32.51 +15:37:27.2
587731187277955173 00:02:35.16 +00:42:14.5
587731185667342459 00:02:39.60 -00:30:57.1
588015507659030729 00:02:40.05 -01:07:50.6
588015509806514365 00:02:43.09 +00:34:19.2
588015509806514377 00:02:48.88 +00:28:34.2
587727223561322712 00:02:51.24 +16:04:23.0
588015509269708809 00:02:58.59 +00:08:31.2
588015509806579822 00:03:00.47 +00:34:14.0
587727226764198090 00:03:12.00 -09:34:49.7
587727226227392604 00:03:21.63 -09:58:59.8
587731187814891689 00:03:22.49 +01:03:28.4
588015508732903437 00:03:30.05 -00:19:25.1
588015507659161666 00:03:31.54 -01:09:29.8
587730773352251582 00:03:36.67 +14:14:34.0
587727220877033658 00:03:38.31 +13:58:23.0
587727220877033674 00:03:41.92 +14:03:04.9
587727226764263525 00:03:43.65 -09:34:06.4
588015510343516313 00:03:45.47 +01:02:41.0
587727221950775416 00:03:45.66 +14:53:49.6
587727178449879178 00:03:48.12 -10:46:37.1
587727179523620954 00:03:49.74 -09:47:13.0
587727223024582862 00:03:52.03 +15:46:32.4
587727226764329040 00:03:56.71 -09:41:10.5
587730774962929861 00:03:59.84 +15:32:54.8
587727225153716362 00:04:01.62 -10:49:48.8
587730773889187972 00:04:02.04 +14:40:05.2
588015509806710883 00:04:02.62 +00:28:34.9
587727223024582948 00:04:16.48 +15:38:28.0
587727180060557429 00:04:29.27 -09:23:15.2
587727180060557437 00:04:30.88 -09:22:03.5
587731187278151887 00:04:31.52 +00:42:01.7
587727179523686564 00:04:33.49 -09:51:20.1
587727221414035644 00:04:34.00 +14:26:28.4
587727223561519256 00:04:34.46 +16:02:06.9
588015510343581865 00:04:35.21 +00:50:55.0
587727225153781926 00:04:45.62 -10:54:59.4
588015510343647360 00:04:48.94 +00:57:04.1
587727221950906570 00:04:53.38 +14:55:58.6
588015509806776351 00:04:55.08 +00:34:14.7
588015510343647386 00:04:58.59 +00:57:43.5
587727221950972118 00:05:07.47 +14:53:52.3
587730775499931846 00:05:08.90 +15:58:08.2
588015509806776514 00:05:10.33 +00:28:05.2
587731186204475615 00:05:12.07 -00:09:02.6
587727225690718362 00:05:12.43 -10:24:57.9
587727223024713793 00:05:18.38 +15:39:24.1
