OBJID RA DEC
587727227300741210 00:00:00.74 -09:13:20.2
587727223024189605 00:00:02.00 +15:41:49.8
587727221950382424 00:00:02.41 +14:49:19.0
587727178449485858 00:00:03.33 -10:43:16.0
587727180596969574 00:00:04.60 -08:56:37.6
587730772815052960 00:00:08.50 +13:44:41.4
587727221413576845 00:00:08.58 +14:30:59.3
587730774962536636 00:00:09.02 +15:26:14.4
588015508195639389 00:00:11.61 -00:38:38.3
587727225690128567 00:00:12.35 -10:32:10.7
587731187814563977 00:00:12.79 +01:07:12.7
587730773888794784 00:00:13.19 +14:35:30.1
588015507658768490 00:00:13.44 -01:12:49.0
587731187277693100 00:00:13.84 +00:39:12.2
587730773351923955 00:00:14.45 +14:12:41.8
587727223024189761 00:00:14.92 +15:43:42.6
587727223024189652 00:00:16.76 +15:41:40.2
587730774425665731 00:00:16.90 +15:02:08.1
587727226763935842 00:00:19.29 -09:37:55.2
587727221413576892 00:00:19.89 +14:22:19.6
587730772815052911 00:00:20.06 +13:50:01.6
587731186740822193 00:00:20.94 +00:12:54.3
587730775499407616 00:00:26.65 +15:54:45.2
587730774425665764 00:00:27.47 +14:57:44.9
587727221413576917 00:00:28.07 +14:22:52.4
587727221413576925 00:00:28.20 +14:25:09.8
587727223024189705 00:00:29.09 +15:42:53.2
587727223561060532 00:00:31.87 +16:06:44.7
587730773888794865 00:00:34.20 +14:37:09.2
588015510343188539 00:00:34.76 +00:51:26.8
587727222487318769 00:00:35.38 +15:13:54.4
587730773888794890 00:00:38.69 +14:35:48.2
587730774962602125 00:00:38.73 +15:24:27.3
587731186204016720 00:00:39.31 -00:00:48.2
588015509269446824 00:00:40.44 +00:01:38.7
587727222487384201 00:00:40.68 +15:19:19.3
587727221413577013 00:00:42.17 +14:30:23.1
587727225690194001 00:00:44.79 -10:24:20.9
587727220876706008 00:00:45.60 +14:04:28.8
587730773888860376 00:00:46.47 +14:38:13.0
587727178449551464 00:00:47.12 -10:48:09.0
588015510343188560 00:00:50.31 +00:54:39.1
587727225153388647 00:00:50.85 -10:59:59.2
587727222487384242 00:00:51.41 +15:15:03.0
587727225690259613 00:00:52.08 -10:35:13.0
587727180060164141 00:00:52.21 -09:31:51.4
587727223561126032 00:00:52.33 +16:07:59.9
587730775499472980 00:00:52.85 +15:55:27.2
587727221413642408 00:00:52.91 +14:24:48.7
587730773351989417 00:00:54.08 +14:07:43.0
587730773351989425 00:00:54.52 +14:12:58.5
588015507658834108 00:00:57.31 -01:06:53.4
587730773351989442 00:00:57.85 +14:11:25.5
587730774962602177 00:00:57.96 +15:23:36.2
587730774425731324 00:01:00.02 +15:03:52.7
587727221950513341 00:01:01.64 +14:51:16.7
587727223561126070 00:01:04.13 +16:03:41.2
587727227300872204 00:01:04.89 -09:09:15.6
587727180060164309 00:01:05.07 -09:29:03.7
587727225690259639 00:01:06.37 -10:24:00.9
587727227300872325 00:01:06.43 -09:14:00.4
587730772815118548 00:01:08.69 +13:51:25.7
587730773888860471 00:01:09.04 +14:35:30.3
588015509269512339 00:01:09.42 +00:05:04.1
587730775499538660 00:01:11.47 +15:59:09.2
587730774962602106 00:01:12.00 +15:28:42.3
587727177912746086 00:01:13.06 -11:06:13.1
587730775499538553 00:01:14.28 +15:47:40.1
587730774962667752 00:01:14.50 +15:25:34.2
587727220876771494 00:01:15.17 +14:00:08.5
588015508195770487 00:01:15.47 -00:48:10.9
587727225690259660 00:01:18.04 -10:25:34.1
587727227300872350 00:01:22.77 -09:12:01.5
587730774425796768 00:01:24.60 +14:58:10.2
587727220876837097 00:01:26.11 +14:00:05.1
587730773352054837 00:01:27.33 +14:11:26.9
587730774962667790 00:01:28.16 +15:22:31.8
588015508732641374 00:01:28.50 -00:13:27.9
587730773888925926 00:01:29.34 +14:43:35.3
588015508732641381 00:01:30.24 -00:14:46.5
587731187277824108 00:01:30.51 +00:39:29.9
587727221413707929 00:01:31.42 +14:24:26.9
588015508195770531 00:01:33.23 -00:43:50.1
587730774425796793 00:01:33.96 +15:04:53.7
588015508732641394 00:01:35.73 -00:23:42.6
587727221413707961 00:01:37.68 +14:30:09.1
587731187814695060 00:01:40.21 +01:05:31.2
587731186204082435 00:01:41.19 -00:02:57.1
588015510343319643 00:01:41.26 +01:01:02.1
587727223024320753 00:01:42.00 +15:39:08.0
587730775499538643 00:01:45.42 +15:58:04.3
587731185667211409 00:01:48.91 -00:36:05.8
587730774962667849 00:01:49.57 +15:24:38.8
587727222487449853 00:01:50.87 +15:15:18.1
587727180060295268 00:01:51.29 -09:24:30.4
587727221413708014 00:01:51.33 +14:27:54.1
587727226764066969 00:01:53.50 -09:42:29.0
587727223561257129 00:01:53.70 +16:08:15.5
587727221950578862 00:01:55.08 +14:51:08.8
587730774962733280 00:01:58.42 +15:30:14.6
588015508732706966 00:02:00.92 -00:20:35.3
588015507658965108 00:02:02.70 -01:05:08.9
587727226764066999 00:02:03.09 -09:36:51.4
587731185130406019 00:02:03.75 -00:54:25.3
587730774425862374 00:02:03.92 +15:03:18.5
587727177912811646 00:02:04.26 -11:02:41.4
587727177912811659 00:02:05.65 -11:12:38.1
587727178986553395 00:02:06.34 -10:13:06.8
587727227300937903 00:02:06.36 -09:12:08.0
588015508195836058 00:02:09.03 -00:42:44.7
587727226764132426 00:02:10.83 -09:42:56.5
588015508732706983 00:02:12.77 -00:18:09.1
587730773888991473 00:02:15.93 +14:40:18.5
587727226227261512 00:02:16.73 -10:03:31.9
587727223024386292 00:02:19.21 +15:37:59.7
587727226764132436 00:02:19.53 -09:45:25.6
587727226227261516 00:02:19.55 -10:01:11.5
588015510343385169 00:02:21.24 +00:56:14.3
587727222487515236 00:02:25.62 +15:21:56.7
587727225153519711 00:02:26.68 -10:55:58.6
587727179523489881 00:02:27.16 -09:53:01.3
588015509269643351 00:02:28.07 +00:08:22.4
587727179523489891 00:02:28.70 -09:47:01.7
588015508195901494 00:02:29.50 -00:45:34.0
587727178986619025 00:02:31.34 -10:17:41.7
587727221413773593 00:02:31.50 +14:24:01.2
587727220876902662 00:02:33.63 +14:04:57.5
587727180060360822 00:02:36.13 -09:31:04.6
587730774425927834 00:02:36.47 +14:58:29.6
587730772815315036 00:02:37.16 +13:45:49.6
587727221413838976 00:02:37.78 +14:32:05.9
587730773889056951 00:02:38.36 +14:38:48.8
587730774425927738 00:02:38.57 +15:03:47.8
588015510343385206 00:02:39.65 +00:56:33.6
587727220876968212 00:02:41.69 +14:01:41.5
588015508732772569 00:02:43.07 -00:24:34.0
587731185130471577 00:02:45.40 -00:59:36.6
587727223024451765 00:02:50.56 +15:46:19.3
587727223024451767 00:02:51.58 +15:39:17.4
587731187277955231 00:02:52.10 +00:39:34.4
588015510343450869 00:02:53.20 +00:56:49.6
587727226227327047 00:02:59.99 -10:01:00.8
588015508732838032 00:03:01.47 -00:19:01.9
587727223561322743 00:03:02.61 +16:07:31.2
587730773352186042 00:03:03.36 +14:15:46.4
587730772815315011 00:03:04.30 +13:45:01.9
587727226227327058 00:03:05.67 -10:03:01.0
587730775499735181 00:03:06.59 +15:55:24.8
587730775499735284 00:03:08.14 +15:58:37.3
587730775499735187 00:03:08.48 +15:48:42.2
587727178986684545 00:03:11.23 -10:14:21.0
587730775499735086 00:03:11.27 +15:57:56.6
587727225690456202 00:03:13.87 -10:27:04.5
587731186204278841 00:03:14.90 -00:02:17.7
587730774962864272 00:03:14.98 +15:24:26.8
587731187814891662 00:03:14.99 +01:06:02.5
588015510343450756 00:03:16.15 +00:54:53.6
587730774962864284 00:03:17.72 +15:31:27.1
587730775499735216 00:03:18.31 +15:56:12.2
587727225153650837 00:03:20.59 -10:57:33.0
587731187814891701 00:03:23.74 +01:05:59.7
587727221413904560 00:03:25.64 +14:28:37.7
587727221413904414 00:03:26.03 +14:27:17.1
